"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL180022";"NERATINIB";"4";"557.05";"2";"5.93";"2, HKI-272";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"IC50";"'='";"0.08";"nM";"10.10";"";"";"UO_0000065";"18.13";"0.34";"4.17";"8.98";"False";"CHEMBL892951";"Inhibition of human EGFR in presence of 1 uM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL101253";"VATALANIB";"3";"346.82";"1";"5.01";"1";"Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL892954";"Inhibition of human EGFR in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147965";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";"None"
"CHEMBL109372";"";"0";"357.77";"0";"4.66";"10";"COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC";"IC50";"'='";"5170.0";"nM";"5.29";"";"";"UO_0000065";"14.78";"0.29";"0.63";"7.87";"False";"CHEMBL675388";"Inhibition of epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136058";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL113185";"";"0";"396.45";"0";"2.68";"10";"COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC";"IC50";"'='";"5100.0";"nM";"5.29";"";"";"UO_0000065";"13.35";"0.25";"2.61";"4.55";"False";"CHEMBL674700";"Inhibition of Epidermal growth factor receptor (EGFr)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131898";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1999";"None"
"CHEMBL308048";"";"0";"188.19";"0";"0.78";"39";"N#C/C(=C\c1ccc(O)cc1)C(N)=O";"IC50";"'='";"800000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"True";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None"
"CHEMBL78150";"TYRPHOSTIN A9";"0";"282.39";"0";"4.42";"9";"CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O";"IC50";"'='";"460000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None"
"CHEMBL432903";"";"0";"526.02";"1";"4.52";"26c";"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"12.74";"0.25";"2.18";"5.82";"False";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL69129";"";"0";"386.45";"0";"4.56";"8";"Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL679675";"Inhibition of Epidermal growth factor receptor (not tested)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132739";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";"None"
"CHEMBL285063";"";"0";"369.22";"0";"4.26";"1";"C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"0.08";"nM";"10.10";"";"";"UO_0000065";"27.35";"0.60";"5.84";"15.09";"False";"CHEMBL978648";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157167";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None"
"CHEMBL521887";"";"0";"450.59";"1";"5.21";"14d";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2ccncc2c1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"13.66";"0.25";"0.94";"12.70";"False";"CHEMBL998566";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141712";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL77595";"";"0";"173.17";"0";"1.68";"26";"N#C/C(=C\c1ccccc1)C(=O)O";"IC50";"'='";"850000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None"
"CHEMBL305782";"";"0";"455.88";"0";"4.47";"26b";"Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"14.79";"0.29";"2.27";"5.62";"False";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL308672";"";"0";"511.99";"1";"4.21";"26t";"CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"12.40";"0.24";"2.14";"5.52";"False";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None"
"CHEMBL188502";"";"0";"416.92";"1";"5.38";"56";"Clc1cccc(Nc2cncc(-c3cncc(NCCCc4cccnc4)c3)n2)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL829568";"Inhibition of epidermal growth factor receptor; not determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140334";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None"
"CHEMBL116547";"";"0";"447.51";"1";"5.04";"1";"COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"11.95";"0.23";"0.31";"4.83";"False";"CHEMBL677393";"Inhibitory concentration against EGF receptor by autophosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL324030";"";"0";"349.44";"0";"2.13";"14";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O";"IC50";"'='";"16300.0";"nM";"4.79";"";"";"UO_0000065";"13.70";"0.28";"2.66";"4.40";"False";"CHEMBL677392";"Inhibitory concentration against EGF receptor by polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL1928311";"";"0";"438.87";"1";"5.65";"45";"O=C(c1cc2cc(O)ccc2[nH]1)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"17.36";"0.35";"1.97";"8.38";"False";"CHEMBL1930721";"Inhibition of EGFR using poly(Glu,Tyr)4:1 as substrate and [gamma33P]ATP after 60 mins by scintillation counting";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1926681";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL1098119";"";"0";"479.06";"1";"5.88";"1";"Cl.NCCc1cn(CCCCCc2ccccc2)c2ccc(OCCc3ccc(O)cc3)cc12";"IC50";"'='";"1630.0";"nM";"5.79";"";"";"UO_0000065";"13.08";"0.24";"-0.09";"9.58";"False";"CHEMBL1105615";"Inhibition of EGFR after 30 mins by chemiluminescence ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157833";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None"
"CHEMBL1095957";"";"0";"332.83";"0";"3.00";"10";"Cl.NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12";"IC50";"'='";"2070.0";"nM";"5.68";"";"";"UO_0000065";"19.18";"0.35";"2.68";"7.98";"False";"CHEMBL1105615";"Inhibition of EGFR after 30 mins by chemiluminescence ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157833";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None"
"CHEMBL1097189";"";"0";"477.05";"1";"5.42";"24";"Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCc2ccccc2)C1";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"12.71";"0.23";"0.18";"9.27";"False";"CHEMBL1105615";"Inhibition of EGFR after 30 mins by chemiluminescence ELISA";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157833";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None"
"CHEMBL1098120";"";"0";"505.10";"1";"6.20";"2";"Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"12.80";"0.23";"-0.20";"9.93";"False";"CHEMBL1111024";"Noncompetitive inhibition of EGFR after 30 mins by chemiluminescence ELISA in presence of 250 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157833";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None"
"CHEMBL1094195";"";"0";"567.05";"2";"7.20";"7";"Cl.NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12";"IC50";"'='";"1060.0";"nM";"5.97";"";"";"UO_0000065";"11.26";"0.21";"-1.23";"9.89";"False";"CHEMBL1111024";"Noncompetitive inhibition of EGFR after 30 mins by chemiluminescence ELISA in presence of 250 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157833";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None"
"CHEMBL424625";"";"0";"336.37";"0";"1.50";"22";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSCCC(=O)O)c1O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL677393";"Inhibitory concentration against EGF receptor by autophosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL119987";"";"0";"384.41";"0";"2.78";"18";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O";"IC50";"'='";"37000.0";"nM";"4.43";"";"";"UO_0000065";"11.53";"0.22";"1.65";"3.32";"False";"CHEMBL677392";"Inhibitory concentration against EGF receptor by polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL310514";"";"0";"143.15";"0";"1.45";"55";"N#CC(C#N)=Cc1ccc[nH]1";"IC50";"'='";"260000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None"
"CHEMBL122522";"";"0";"322.39";"0";"4.12";"23";"COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O";"IC50";"'='";"6700.0";"nM";"5.17";"";"";"UO_0000065";"16.05";"0.31";"1.05";"6.72";"True";"CHEMBL677393";"Inhibitory concentration against EGF receptor by autophosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126897";"1";"Scientific Literature";"J. Med. Chem.";"1993";"None"
"CHEMBL265629";"";"0";"470.51";"0";"2.94";"1n";"O=C1CN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CCN1";"IC50";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"13.72";"0.25";"3.52";"6.99";"False";"CHEMBL893470";"Inhibition of human EGFR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147910";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL1096972";"";"0";"338.41";"0";"4.47";"20";"C#Cc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1115598";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157122";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL139307";"";"0";"496.41";"0";"4.38";"23";"C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"3.3";"nM";"8.48";"";"";"UO_0000065";"17.09";"0.36";"4.10";"12.02";"False";"CHEMBL673925";"Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134843";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None"
"CHEMBL44";"GENISTEIN";"2";"270.24";"0";"2.58";"1";"O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"22.20";"0.41";"3.42";"6.60";"True";"CHEMBL679549";"Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127678";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None"
"CHEMBL379601";"";"0";"403.85";"0";"3.09";"19";"COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"19.06";"0.38";"4.61";"8.25";"False";"CHEMBL853149";"Inhibition of EGFR in presence of 2 uM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147701";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None"
"CHEMBL207037";"";"0";"415.86";"0";"3.09";"17";"COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"17.56";"0.34";"4.21";"7.82";"False";"CHEMBL853149";"Inhibition of EGFR in presence of 2 uM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147701";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None"
